approach_id,sample_id,side_label,target_lat,target_lon,panoid,pano_lat,pano_lon,pano_distance_m,target_bearing_deg,pano_angle_deg,face,face_delta_deg,shot_date,roadview_link,resolved_url,node_url,status,target_image_path
CW07-B,CW07,B,37.4017507743373,126.9217985586966,1203476201,37.4017337388158,126.921844293025,4.46,295.1,325.8,front,-30.7,2025-12-01 13:09:25,"https://map.kakao.com/link/roadview/37.4017508,126.9217986",https://map.kakao.com/?panoid=1203476201&pan=325.8&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482700.0&urlY=1084002.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476201?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW07-B/target.jpg
CW08-A,CW08,A,37.40151630806864,126.92345020395895,1202971188,37.4015546161051,126.923497942413,5.99,224.7,326.1,right,-11.4,2025-11-17 14:28:06,"https://map.kakao.com/link/roadview/37.4015163,126.9234502",https://map.kakao.com/?panoid=1202971188&pan=326.1&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483066.0&urlY=1083952.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971188?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW08-A/target.jpg
CW08-B,CW08,B,37.401551731931356,126.92351919604104,1202971188,37.4015546161051,126.923497942413,1.9,99.7,326.1,left,43.6,2025-11-17 14:28:06,"https://map.kakao.com/link/roadview/37.4015517,126.9235192",https://map.kakao.com/?panoid=1202971188&pan=326.1&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483066.0&urlY=1083952.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971188?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW08-B/target.jpg
CW09-A,CW09,A,37.4012455863223,126.92224733040224,1202871501,37.4011970046776,126.922260473142,5.53,347.9,287.0,left,-29.1,2025-11-18 11:48:15,"https://map.kakao.com/link/roadview/37.4012456,126.9222473",https://map.kakao.com/?panoid=1202871501&pan=287.0&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482792.0&urlY=1083853.0,https://rv.map.kakao.com/roadview-search/v2/node/1202871501?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW09-A/target.jpg
CW09-B,CW09,B,37.40129217367772,126.92232506959778,1203476172,37.401233087059,126.922323682831,6.57,1.1,320.5,front,40.6,2025-12-01 13:09:18,"https://map.kakao.com/link/roadview/37.4012922,126.9223251",https://map.kakao.com/?panoid=1203476172&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482806.0&urlY=1083863.0,https://rv.map.kakao.com/roadview-search/v2/node/1203476172?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW09-B/target.jpg
CW10-A,CW10,A,37.40122776316556,126.92368033197005,1202971184,37.4012484238436,126.923737688659,5.56,245.6,327.6,right,8.0,2025-11-17 14:28:00,"https://map.kakao.com/link/roadview/37.4012278,126.9236803",https://map.kakao.com/?panoid=1202971184&pan=327.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483119.0&urlY=1083867.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971184?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW10-A/target.jpg
CW10-B,CW10,B,37.40127715683444,126.92376726802996,1202971184,37.4012484238436,126.923737688659,4.13,39.3,327.6,left,-18.3,2025-11-17 14:28:00,"https://map.kakao.com/link/roadview/37.4012772,126.9237673",https://map.kakao.com/?panoid=1202971184&pan=327.6&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=483119.0&urlY=1083867.0,https://rv.map.kakao.com/roadview-search/v2/node/1202971184?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW10-B/target.jpg
CW11-A,CW11,A,37.401019360005925,126.92269349040264,1202874755,37.4009665331887,126.922549839166,13.98,65.2,320.5,left,14.7,2025-11-18 14:46:16,"https://map.kakao.com/link/roadview/37.4010194,126.9226935",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874755?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW11-A/target.jpg
CW11-B,CW11,B,37.40104407999407,126.92273490959737,1202874755,37.4009665331887,126.922549839166,18.48,62.2,320.5,left,11.7,2025-11-18 14:46:16,"https://map.kakao.com/link/roadview/37.4010441,126.9227349",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874755?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW11-B/target.jpg
CW12-A,CW12,A,37.40099326142671,126.92264523773848,1202874755,37.4009665331887,126.922549839166,8.94,70.6,320.5,left,20.1,2025-11-18 14:46:16,"https://map.kakao.com/link/roadview/37.4009933,126.9226452",https://map.kakao.com/?panoid=1202874755&pan=320.5&zoom=0&map_type=TYPE_MAP&map_attribute=ROADVIEW&urlX=482856.0&urlY=1083789.0,https://rv.map.kakao.com/roadview-search/v2/node/1202874755?SERVICE=csspano,downloaded,/workspace/scratch/0ad8d7d5b1e3/onway_corridor_mvp/roadview_evidence/approaches/CW12-A/target.jpg
